paper_key,claim_id,expected_trend,observed_metric,threshold,observed_value,verdict,confidence,reason
muelken_blumen_2011,closed_ctqw_topology_dependence,Closed CTQW observables depend on network topology.,std(long_time_average_return),0.01,0.0,inconclusive,0.7,Closed-system topology separation is below threshold.
razzoli_2021,trap_position_changes_efficiency,Changing only trap/target position changes transport efficiency.,max_target_position_spread,0.05,0.0,inconclusive,0.75,Target placement effect is below threshold.
razzoli_2021,connectivity_is_not_sufficient,Target degree alone should not explain transport efficiency.,"r2(target_degree, target_arrival)",<0.75,1.0,inconclusive,0.0,Degree correlation is too high or data are under-varied.
plenio_huelga_2008,dephasing_assisted_transport,Nonzero dephasing can improve useful target arrival.,max_mean_dephasing_gain_with_ci95_low,0.05,0.17152676521947005,matched,1.0,A nonzero dephasing point has gain above threshold with positive CI95 lower bound.
mohseni_2008,enaqt_intermediate_regime,"Intermediate environment action improves sink efficiency, while strongest dephasing is not always optimal.",dephasing_gain_and_high_dephasing_penalty,gain>=0.05 and penalty>0.02,gain=0.172; suppression=True,matched,1.0,Best transport occurs at nonzero dephasing and high dephasing is not uniformly optimal.
caruso_2009,noise_opens_transport_pathways_in_dissipative_networks,Noise can improve excitation transfer through a dissipative network instead of only degrading it.,positive_dephasing_gain_with_sink_loss_model,gain>=0.05 at nonzero dephasing,candidate_records=732; mean_loss=0.187,matched,1.0,The sink/loss model contains cases where nonzero dephasing improves useful arrival.
kendon_2007,decoherence_as_a_tunable_quantum_walk_parameter,"Moderate decoherence can tune quantum-walk spreading or mixing, while excessive decoherence removes coherent advantages.",dephasing_gain_and_high_dephasing_penalty,gain>=0.05 and penalty>0.02,gain=0.172; suppression=True,matched,1.0,The simulations show a useful nonzero-dephasing region and a high-dephasing penalty.
rebentrost_2009,disorder_dephasing_efficiency_map,Efficiency maps contain a useful intermediate dephasing window across disorder values.,persistent_positive_dephasing_gain_and_high_noise_suppression,>=2 disorder values and penalty>0.02,persistent=True; suppression=True,matched,0.85,Positive dephasing gain persists across disorder values and high-noise suppression appears.
whitfield_2010,classical_quantum_walks_are_distinguishable_limits,Quantum/open signatures should not be fully explained by the classical rate-walk control.,"max(quantum_only, quantum_minus_classical)-classical_only_accuracy",0.02,0.0,inconclusive,0.6666666666666667,Classical control explains most of the signal.
rossi_2015,dynamic_signatures_encode_graph_similarity,Dynamic CTQW-inspired signatures should place same-family graphs closer than different-family graphs.,mean_interfamily_distance/mean_intrafamily_distance,1.1,1.0,inconclusive,0.8333333333333337,Dynamic-signature separation is below threshold.
minello_2019,quantum_walk_signatures_support_graph_classification,Quantum-walk dynamic signatures should classify graph families above baseline.,group_split_accuracy,quantum>baseline and combined>=topology,quantum=0.000; topology=0.000; combined=0.000; baseline=0.000,inconclusive,0.5,Classification is not sufficiently above controls.
novo_2016,disorder_can_assist_suboptimal_transport,Moderate disorder can improve transport in suboptimal regimes.,max_arrival_delta_disorder_vs_clean_same_context,0.03,0.0,inconclusive,0.8,No clean same-context disorder improvement above threshold was found.
coates_2023,multiple_enaqt_optima_require_gamma_resolved_curves,Some disordered networks can have more than one optimal noise regime rather than a single Goldilocks peak.,gamma_resolved_peak_count,at least two separated local maxima,not exported by current summary-level campaign,inconclusive,0.35,"The current campaign stores best-point summaries, not full efficiency-versus-dephasing curves needed to count twin peaks."
blach_2025,environment_assisted_transport_as_material_motivation,Experiments can show best transport when disorder and dephasing are balanced.,effective_model_dephasing_disorder_window,persistent positive dephasing gain with high-noise suppression,persistent=True; suppression=True,matched,0.8,"The effective model reproduces the qualitative balanced-regime motif, not the perovskite microscopic experiment."
blach_2025,perovskite_nanocrystal_microscopic_reproduction,"A perovskite experiment requires material-specific structure, temperature dependence, and exciton parameters.",model_scope,material-specific parameters required,effective network model only,not_applicable,1.0,This lab uses controlled effective networks and does not yet include perovskite nanocrystal parameters.
rojo_francas_2024,fractal_geometry_changes_transport_exponents,Fractal lattices can show anomalous spreading governed by geometry and spectral structure.,fractal_family_and_msd_exponent,fractal lattice family with fitted MSD exponent,fractal media not implemented in this campaign,not_applicable,1.0,"Fractal lattices are a valuable next extension, but the current campaign uses chains, rings, random graphs, and regular/effective media."
gamble_2010,two_particle_quantum_walk_graph_isomorphism,Interacting two-particle quantum walks can distinguish graph structures beyond some single-particle invariants.,particle_number,two-particle interacting walk required,single-excitation effective model,not_applicable,1.0,"The current lab intentionally stays in the single-excitation sector, so this paper is a limitation guardrail rather than a direct benchmark."
engel_2007,photosynthetic_wavelike_coherence_experimental_motivation,Spectroscopic experiments can reveal coherent excitation dynamics in photosynthetic complexes.,experimental_spectroscopy_scope,microscopic photosynthetic complex and spectroscopy required,effective graph transport model,not_applicable,1.0,This paper motivates coherent excitation transport but is not reproduced by a generic graph model.
maier_2019,finite_network_coherent_assisted_damped_progression,"Finite controlled networks can show coherent, assisted, and high-noise-damped regimes.",finite_size_grid_plus_dephasing_window_plus_suppression,finite N and dephasing window with suppression,"N=[8, 10, 12]; window=True; suppression=True",matched,0.8,The effective finite-network model reproduces the qualitative regime progression.
maier_2019,exact_10_qubit_hardware_reproduction,Exact trapped-ion/qubit hardware reproduction would require microscopic hardware parameters.,model_scope,hardware-specific parameters required,effective network model only,not_applicable,1.0,"This lab tests a qualitative finite-network analogue, not the experimental hardware implementation."
