paper_key,claim_id,expected_trend,observed_metric,threshold,observed_value,verdict,confidence,reason
muelken_blumen_2011,closed_ctqw_topology_dependence,Closed CTQW observables depend on network topology.,std(long_time_average_return),0.01,0.2057421681863964,matched,1.0,Closed-system return differs across topologies while numerical closure is valid.
razzoli_2021,trap_position_changes_efficiency,Changing only trap/target position changes transport efficiency.,max_target_position_spread,0.05,0.48965670942158923,matched,1.0,Target placement produces efficiency spread above threshold.
razzoli_2021,connectivity_is_not_sufficient,Target degree alone should not explain transport efficiency.,"r2(target_degree, target_arrival)",<0.75,0.26658530667094893,matched,0.7334146933290511,Degree explains less than the threshold fraction of target-arrival variation.
plenio_huelga_2008,dephasing_assisted_transport,Nonzero dephasing can improve useful target arrival.,max_mean_dephasing_gain_with_ci95_low,0.05,0.2632649409876832,matched,1.0,A nonzero dephasing point has gain above threshold with positive CI95 lower bound.
mohseni_2008,enaqt_intermediate_regime,"Intermediate environment action improves sink efficiency, while strongest dephasing is not always optimal.",dephasing_gain_and_high_dephasing_penalty,gain>=0.05 and penalty>0.02,gain=0.263; suppression=True,matched,1.0,Best transport occurs at nonzero dephasing and high dephasing is not uniformly optimal.
caruso_2009,noise_opens_transport_pathways_in_dissipative_networks,Noise can improve excitation transfer through a dissipative network instead of only degrading it.,positive_dephasing_gain_with_sink_loss_model,gain>=0.05 at nonzero dephasing,candidate_records=424; mean_loss=0.168,matched,1.0,The sink/loss model contains cases where nonzero dephasing improves useful arrival.
kendon_2007,decoherence_as_a_tunable_quantum_walk_parameter,"Moderate decoherence can tune quantum-walk spreading or mixing, while excessive decoherence removes coherent advantages.",dephasing_gain_and_high_dephasing_penalty,gain>=0.05 and penalty>0.02,gain=0.263; suppression=True,matched,1.0,The simulations show a useful nonzero-dephasing region and a high-dephasing penalty.
rebentrost_2009,disorder_dephasing_efficiency_map,Efficiency maps contain a useful intermediate dephasing window across disorder values.,persistent_positive_dephasing_gain_and_high_noise_suppression,>=2 disorder values and penalty>0.02,persistent=True; suppression=True,matched,0.85,Positive dephasing gain persists across disorder values and high-noise suppression appears.
whitfield_2010,classical_quantum_walks_are_distinguishable_limits,Quantum/open signatures should not be fully explained by the classical rate-walk control.,"max(quantum_only, quantum_minus_classical)-classical_only_accuracy",0.02,0.16435185185185186,matched,1.0,Quantum/open signatures classify better than the classical-control features.
rossi_2015,dynamic_signatures_encode_graph_similarity,Dynamic CTQW-inspired signatures should place same-family graphs closer than different-family graphs.,mean_interfamily_distance/mean_intrafamily_distance,1.1,1.2921252609532912,matched,1.0,Inter-family dynamic-signature distance is larger than intra-family distance.
